Author,Race
Woodie King Jr.ÿ(born 1937),African-American
"Etheridge Knightÿ(1931?1991), poet",African-American
Yusef Komunyakaaÿ(born 1947),African-American
,African-American
L[edit],African-American
"Pinkie Gordon Laneÿ(1923?2008), poet, editor and teacher",African-American
"Nella Larsenÿ(1891?1964), novelist",African-American
Victor LaValleÿ(born 1972),African-American
"Andrea Leeÿ(born 1935), novelist and memoirist",African-American
Julius Lesterÿ(born 1939),African-American
David Levering Lewisÿ(born 1936),African-American
Alain Lockeÿ(1885?1954),African-American
"Attica Lockeÿ(born 1974), novelist",African-American
"Audre Lordeÿ(1934?1992), author, poet, activist",African-American
"Glenville Lovellÿ(born 1955), novelist and playwright",African-American
,African-American
M[edit],African-American
"Nathaniel Mackeyÿ(born 1947), poet, novelist, anthologist, literary critic and editor",African-American
"Naomi Long Madgettÿ(born 1923), poet",African-American
Haki R. Madhubutiÿ(born 1942),African-American
"Clarence Majorÿ(born 1936), poet, painter and novelis",African-American
"Raynetta Manees, novelist",African-American
Manning Marableÿ(1950?2011),African-American
John Marrantÿ(1755?1791),African-American
Paule Marshallÿ(born 1929),African-American
Hans Massaquoiÿ(1926?2013),African-American
Brandon Masseyÿ(born 1973),African-American
"Victoria Earle Matthewsÿ(1861?1907), essayist, newspaperwoman, activist",African-American
Julian Mayfieldÿ(1928?1984),African-American
Nathan McCallÿ(born 1955),African-American
"Bernice McFaddenÿ(born 1965), novelist",African-American
Claude McKayÿ(1889?1948),African-American
Patricia McKissackÿ(born 1944),African-American
Reginald McKnightÿ(born 1956),African-American
"Kim McLarinÿ(born 1964), novelist",African-American
"Terry McMillanÿ(born 1951), novelist",African-American
James Alan McPhersonÿ(1943?2016),African-American
"Louise Meriwetherÿ(born 1923), novelist, essayist, journalist and activist",African-American
"Alex P Michaels, writer and filmmaker",African-American
Oscar Micheauxÿ(1884?1951),African-American
"E. Ethelbert Millerÿ(born 1950), poet",African-American
"May Millerÿ(1899?1995), poet and playwright",African-American
"Mary Monroe, novelist",African-American
Anne Moodyÿ(1940?2015),African-American
"Jessica Care Mooreÿ(born 1971), poet",African-American
"Toni Morrisonÿ(born 1931), author,ÿNobel laureateÿ1993",African-American
"E. Frederic Morrowÿ(1906-1994), first black American appointed to a president's administration (1955-1960)",African-American
"Walter Mosleyÿ(born 1952), novelist",African-American
Thylias Mossÿ(born 1954),African-American
Willard Motleyÿ(1909?1965),African-American
Jess Mowryÿ(born 1960),African-American
Albert Murrayÿ(1916?2013),African-American
Pauli Murrayÿ(1910?1985),African-American
"Walter Dean Myersÿ(1937?2014), writer of children's books",African-American
,African-American
N[edit],African-American
Tariq Nasheedÿ(born 1977),African-American
Gloria Naylorÿ(born 1950),African-American
Larry Nealÿ(1937?1981),African-American
"Barbara Neelyÿ(born 1941), novelist, short-story writer and activist",African-American
Huey P. Newtonÿ(1942?1989),African-American
Richard Bruce Nugentÿ(1906?1987),African-American
,African-American
O[edit],African-American
Barack Obamaÿ(born 1961),African-American
Michelle Obamaÿ(born 1964),African-American
Bayo Ojikutuÿ(born 1971),African-American
Mwatabu S. Okantahÿ(born 1952),African-American
Gabriel Okaraÿ(born 1921),African-American
Nnedi Okoraforÿ(born 1974),African-American
Marc Oldenÿ(born 1933),African-American
Roscoe Ormanÿ(born 1944),African-American
Ewuare Osayande,African-American
"Brenda Marie Osbeyÿ(born 1957), poet",African-American
,African-American
P[edit],African-American
ZZ Packerÿ(born 1973),African-American
Gordon Parksÿ(1912?2006),African-American
Tyler Perryÿ(born 1969),African-American
"Eric Pete, novelist and short-story writer",African-American
Ann Petryÿ(1908?1997),African-American
Debra Phillipsÿ(born 1964),African-American
William Pickensÿ(1881?1954),African-American
Ann Platoÿ(born c. 1824),African-American
"Sterling Plumppÿ(born 1940), educator and author",African-American
Carlene Hatcher Politeÿ(1932?2009),African-American
Alvin F. Poussaintÿ(born 1934),African-American
"Jewel Prestageÿ(1931?2014), first African-American woman to earn a Ph.D. in political science, former Dean of the School of Public Policy and Urban Affairs atÿSouthern University.",African-American
,African-American
R[edit],African-American
"Aishah Rahmanÿ(born 1936), playwright",African-American
"Alice Randallÿ(born 1959), author and songwriter",African-American
"Dudley Randallÿ(1914?2000), poet and publisher",African-American
"Francis Rayÿ(1944?2013), writer of romance fiction",African-American
"Andy Razafÿ(1895?1973), poet, composer and lyricist",African-American
"Ishmael Reedÿ(born 1938), poet, essayist and novelist",African-American
"Christopher Reelÿ(born 1979), novelist",African-American
"Jason Reynoldsÿ(born 1983), YA/Middle-Grade novelist/poet",African-American
"Willis Richardsonÿ(1889?1977), playwright",African-American
"Florida Ruffin Ridleyÿ(1861?1943), essayist and short story writer",African-American
"Carolyn Rodgersÿ(1940?2010), poet",African-American
Octavia V. Rogers Albertÿ(1853?c. 1890),African-American
Al Rokerÿ(born 1954),African-American
Fran Rossÿ(1935?1985),African-American
"Josephine St. Pierre Ruffinÿ(1842?1924), journalist",African-American
"Rachel Renee Russellÿ(born 1959), author of theÿDork Diariesÿseries of children's novels",African-American
"Carl Hancock Rux, poet, essayist, playwright, novelist",African-American
"Rupaulÿ(born 1960), actor, author, drag performer, TV show host",African-American
,African-American
S[edit],African-American
"Kalamu ya Salaamÿ(born 1947), poet, author, filmmaker, teacher, activist",African-American
"Sonia Sanchezÿ(born 1934), poet",African-American
Dori Sandersÿ(born 1935?) novelist,African-American
Sapphireÿ(born 1950),African-American
"Charles R. Saunders, (born 1946) author and journalist",African-American
"Arturo Alfonso Schomburgÿ(1874?1938), historian, writer, and activist",African-American
"George Schuylerÿ(1895?1977), author, journalist and social commentator",African-American
"Gil Scott-Heronÿ(1949?2011), poet and musician",African-American
"Clara Johnson Scroggins, author, collector",African-American
"Sandra Seaton, playwright and librettist",African-American
Victor S‚jourÿ(1817?1874),African-American
"Fatima Shaikÿ(born 1952), author",African-American
Tupac Shakurÿ(1971?1996),African-American
"Ntozake Shangeÿ(born 1948), playwright and poet",African-American
Nisi Shawlÿ(born 1955),African-American
Sister Souljahÿ(born 1964),African-American
Iceberg Slimÿ(1918?1992),African-American
Amanda Smithÿ(1837?1915),African-American
"Danez Smith, poet",African-American
"Effie Waller Smithÿ(1879?1960), poet",African-American
"William Gardner Smithÿ(1927?1974), journalist, novelist, and editor",African-American
"Thomas Sowellÿ(born 1930), economist, social theorist, political philosopher",African-American
A. B. Spellmanÿ(born 1935),African-American
"Anne Spencerÿ(1882?1975), poet",African-American
"Aurin Squireÿ(born 1979), producer, playwright, screenwriter and reporter",African-American
Theophilus Gould Stewardÿ(1843?1924),African-American
"Maria W. Stewartÿ(1803?1880), journalist, lecturer, abolitionist, women's rights activist",African-American
,African-American
T[edit],African-American
Ellen Tarryÿ(1906?2008),African-American
Mildred D. Taylorÿ(born 1943),African-American
Susie Taylorÿ(1848?1912),African-American
Mary Church Terrellÿ(1863?1954),African-American
Lucy Terryÿ(c. 1730?1821),African-American
Michael Thelwellÿ(born 1939),African-American
Angie Thomasÿ(born 1988),African-American
"Joyce Carol Thomasÿ(1938?2016), author, poet, playwright, and motivational speaker",African-American
Lorenzo Thomasÿ(1944?2005),African-American
Piri Thomasÿ(1928?2011),African-American
Truth Thomas,African-American
Pamela Thomas-Grahamÿ(born 1963),African-American
Era Bell Thompsonÿ(1905?1986),African-American
Wallace Thurmanÿ(1902?1934),African-American
Lynn Tolerÿ(born 1959),African-American
Melvin B. Tolsonÿ(1898?1966),African-American
Jean Toomerÿ(1894?1967),African-American
Tour‚ÿ(born 1971),African-American
"Askia M. Tour‚ÿ(born 1938), poet, essayist, leading voice of theÿBlack Arts Movement",African-American
Quincy Troupeÿ(born 1939),African-American
Sojourner Truthÿ(died 1883),African-American
Omar Tyreeÿ(born 1969),African-American
,African-American
V[edit],African-American
"Henry Van Dykeÿ(1928?2011), novelist, editor, teacher and musician",African-American
"Ivan Van Sertimaÿ(1935?2009), professor, author, historian, linguist and anthropologist at Rutgers University",African-American
"Bethany Veneyÿ(c. 1813?1916), author ofÿAunt Betty's Story: The Narrative of Bethany Veney, A Slave Woman (1889)",African-American
"Olympia Vernonÿ(born 1973), novelist",African-American
,African-American
W[edit],African-American
Dwyane Wadeÿ(born 1982),African-American
Alice Walkerÿ(born 1944),African-American
"Frank X. Walkerÿ(born 1961), founding member of Affrilachian poets",African-American
Margaret Walkerÿ(1915?1998),African-American
Christopher George Latore Wallaceÿ(1972?1997),African-American
Michele Wallaceÿ(born 1952),African-American
Eric Walrondÿ(1898?1966),African-American
Marilyn Nelson Waniekÿ(born 1946),African-American
Douglas Turner Wardÿ(born 1930),African-American
Jesmyn Wardÿ(born 1977),African-American
Booker T. Washingtonÿ(1856?1913),African-American
"Frank J. Webbÿ(1828?1894), novelist, poet, essayist",African-American
Ida B. Wellsÿ(1862?1931),African-American
"Richard Wesleyÿ(born 1945), playwright, screenwriter",African-American
Valerie Wilson Wesleyÿ(born 1947),African-American
Cornel Westÿ(born 1953),African-American
"Dorothy Westÿ(1907?1998), novelist",African-American
"Phillis Wheatleyÿ(1753?1784), first published African-American poet",African-American
Walter Francis Whiteÿ(1893?1955),African-American
"Colson Whiteheadÿ(born 1969), novelist (The Intuitionist,ÿThe Underground Railroad) and journalist",African-American
"Steven Whitehurstÿ(born 1967), award-winning author",African-American
"Albery Allson Whitmanÿ(1851?1901), poet, minister and orator",African-American
"Anthony Whyte, writer of urban and hip-hop literature",African-American
John Edgar Widemanÿ(born 1941),African-American
Isabel Wilkersonÿ(born 1961),African-American
Crystal Wilkinsonÿ(born 1962),African-American
"Chancellor Williamsÿ(1893?1992), historian and sociologist",African-American
"John Alfred Williamsÿ(born 1925), author, journalist and academic",African-American
"Samm-Art Williamsÿ(born 1946), playwright",African-American
Sherley Anne Williamsÿ(1944?1999),African-American
Walter E. Williamsÿ(born 1936),African-American
August Wilsonÿ(1945?2005),African-American
"Harriet E. Wilsonÿ(1825?1900), author ofÿOur Nigÿand the first African-American novelist",African-American
"William Julius Wilsonÿ(born 1935), author ofÿWhen Work Disappears,ÿThe Truly Disadvantaged, andÿThe Declining Significance of Race",African-American
Oprah Winfreyÿ(born 1954),African-American
Carter G. Woodsonÿ(1895?1950),African-American
"Jacqueline Woodsonÿ(born 1963), award-winning author of books for children and adolescents, including ""Brown Girl Dreaming""",African-American
David Wrightÿ(born 1964),African-American
"Jay Wrightÿ(born 1935), poet",African-American
"Kelly Wright, author ofÿOuted ObsessionÿandÿFatal Fixation",African-American
Richard Wrightÿ(1908?1960),African-American
,African-American
X[edit],African-American
Malcolm Xÿ(1925?1965),African-American
,African-American
Y[edit],African-American
Camille Yarbroughÿ(born 1938),African-American
"Frank Yerbyÿ(1916?1991), historical novelist",African-American
"Al Youngÿ(born 1939), poet, novelist, essayist, screenwriter and professor",African-American
,African-American
Z[edit],African-American
"Zaneÿ(born 1966/67), author of erotic fiction",African-American
"Ahmos Zu-Boltonÿ(1948?2005), activist, poet and playwright",African-American
